41032201 小浪底村 [112.356,34.8567] 
41032241 下沟村 [112.395,34.7595] 
41032242 送庄村 [112.565,34.7951] 
41032291 岭南生态苑 [112.438,34.8285] 
41032301 河南村 [112.144,34.7158] 
41032341 石井乡 [112.087,34.9762] 
41032342 北冶乡 [112.117,34.8988] 
41032343 宋村 [112.117,34.7337] 
41032344 槐树凹 [112.168,34.7814] 
41032441 白土乡 [111.403,34.017] 
41032442 赤土店镇 [111.583,34.8337] 
41032443 秋扒乡 [111.65,34.017] 
41032444 冷水镇 [111.333,34.9333] 
41032445 合峪镇 [111.885,34.8472] 
41032446 陶湾镇 [111.467,34.8306] 
41032447 三川镇 [111.383,34.9333] 
41032448 叫河乡 [111.309,34.8631] 
41032449 庙子乡 [111.717,34.7704] 
41032450 大清沟乡 [111.726,34.9062] 
41032451 潭头镇 [111.75,34.0056] 
41032452 狮子庙 [111.536,34.0003] 
41032453 栾川乡 [111.617,34.7833] 
41032541 大坪 [112.058,34.2249] 
41032542 大章 [111.884,34.0728] 
41032543 白河 [111.944,33.6347] 
41032544 车村 [112.117,33.7939] 
41032545 黄庄 [112.264,34.0768] 
41032546 田湖 [112.195,34.2325] 
41032547 九店 [112.292,34.169] 
41032548 木植街 [112.164,33.9598] 
41032549 旧县 [111.852,34.0246] 
41032550 德亭 [111.92,34.14] 
41032551 阎庄 [112.099,34.2397] 
41032552 库区 [112.13,34.1876] 
41032553 饭坡 [112.211,34.1877] 
41032554 何村 [112.054,34.1264] 
41032555 纸房 [112.1,34.1181] 
41032556 城关 [112.091,34.1481] 
41032641 大虎岭林场 [112.455,34.2316] 
41032642 内埠新村 [112.507,34.3052] 
41032643 刘店村 [112.547,34.0985] 
41032644 三屯村 [112.48,34.067] 
41032645 西局村 [112.413,34.0865] 
41032646 枣林村 [112.358,34.1481] 
41032647 东街村 [112.47,34.1606] 
41032701 白杨镇 [112.219,34.3905] 
41032702 高村乡 [111.852,34.5296] 
41032703 董王庄乡烟站 [112.104,34.3597] 
41032704 韩城乡桃村 [111.923,34.4925] 
41032705 柳泉镇 [112.034,34.5171] 
41032706 高村乡 [111.728,34.5442] 
41032707 赵保乡十字岭村 [112.133,34.4175] 
41032708 盐镇乡张深村 [111.852,34.518] 
41032709 盐镇乡铁炉村 [111.876,34.5088] 
41032741 莲庄乡 [111.969,34.4771] 
41032742 三乡乡 [111.795,34.4452] 
41032743 宜故路南阎路口 [111.969,34.4771] 
41032744 木柴乡板桥村 [111.846,34.3516] 
41032801 故县乡言里村 [111.193,34.3178] 
41032802 马店乡吕村 [111.799,34.7689] 
41032803 河底乡范店村 [111.765,34.557] 
41032804 东宋乡中河村 [111.59,34.5406] 
41032805 小界乡烟站 [111.566,34.4747] 
41032806 上戈乡里石头村 [111.208,34.3492] 
41032807 下峪乡庄头村 [111.331,34.2233] 
41032808 兴华乡瓦寨庙村 [111.461,34.2545] 
41032809 西山底乡杨岭村 [111.543,34.2617] 
41032901 鸣皋 [112.291,34.3111] 
41032902 葛寨 [112.366,34.3139] 
41032903 高山 [112.28,34.43] 
41032941 白沙 [112.52,34.3822] 
41032942 吕店 [112.627,34.4372] 
41032943 鸦岭 [112.38,34.46] 
41032944 城关 [112.424,34.4225] 
41032945 水寨 [112.466,34.4297] 
41032946 白元 [112.411,34.3583] 
41032947 酒后 [112.291,34.2775] 
41032948 半坡 [112.706,34.3706] 
41032949 江左 [112.687,34.4092] 
41032950 彭婆 [112.482,34.4928] 
41032951 水利局 [112.422,34.4225] 
41032952 平等 [112.372,34.3808] 
41038141 顾县镇 [112.787,34.6403] 
41038142 高龙镇 [112.688,34.6043] 
41038143 庞村镇 [112.64,34.6223] 
